ID,Place Name,Latitude,Longitude
1633445674,"Béjaïa Meubles, 38, Rue des frères Chikirou, Les Babors, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7521758,5.0790713
1633445675,"Les Babors, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7501644,5.0844137
1633445687,"Groupe Kernou Aluminium (GKA), 6, Avenue Mustapha Ben Boulaid, Les Babors, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7513979,5.0827346
1633451012,"Librairie de la soummam, 2, Rue frères Mohamed, Ex. SNTV, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7531088,5.0768139
1638431724,"Ḥayy Lḥaḍana, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7477885,5.0672881
1638431728,"Cité Zerrara, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7562164,5.0600336
1638431758,"Cité Tobal, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7508937,5.0706917
1638431796,"Boulevard des Martyrs, Igil Lberg, Ennator, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7669582,5.0618434
1638431834,"Sidi Ahmed, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.758729,5.0583942
1638431837,"Résidence universitaire 1000 lits, Cité Tobal, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7492635,5.0678929
1638431955,"Résidence universitaire 1000 lits, Ḥayy Lḥaḍana, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7475713,5.070636
1638431978,"Résidence universitaire 1000 lits, Quartier Séghir, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7472986,5.0597809
